lat,lng
24.445833,122.94375
24.454166,122.94375
24.4625,122.95625
24.445833,122.98125
24.4625,122.98125
24.4625,122.99375
24.470833,122.99375
24.0625,123.76875
24.0625,123.78125
24.2375,123.94375
24.2375,123.99375
24.2625,123.85625
24.2625,123.86875
24.270834,123.88125
24.279167,123.88125
24.2875,123.88125
24.320833,123.90625
24.329166,123.95625
24.329166,123.99375
24.3375,123.73125
24.3625,123.74375
24.3875,123.74375
24.3625,123.75625
24.395834,123.75625
24.4125,123.79375
24.404167,123.80625
24.4125,123.80625
24.395834,123.81875
24.404167,123.84375
24.395834,123.86875
24.345833,123.91875
24.345833,123.93125
24.3375,123.95625
24.3375,123.96875
24.3375,123.98125
24.345833,123.98125
24.354166,123.98125
24.3375,123.99375
24.345833,123.99375
24.4625,123.00625
24.470833,123.00625
24.429167,123.76875
24.4375,123.76875
24.420834,123.78125
24.429167,123.78125
24.4375,123.78125
24.420834,123.79375
24.429167,123.79375
24.470833,123.81875
24.2375,124.00625
24.2375,124.01875
24.245834,124.01875
24.254166,124.00625
24.320833,124.08125
24.329166,124.08125
24.320833,124.09375
24.329166,124.09375
24.329166,124.16875
24.329166,124.18125
24.354166,124.11875
24.3625,124.11875
24.370834,124.11875
24.379166,124.11875
24.354166,124.13125
24.3625,124.13125
24.370834,124.13125
24.379166,124.13125
24.4125,124.13125
24.3375,124.14375
24.345833,124.14375
24.354166,124.14375
24.3625,124.14375
24.370834,124.14375
24.404167,124.14375
24.4125,124.14375
24.3375,124.15625
24.345833,124.15625
24.354166,124.15625
24.3625,124.15625
24.379166,124.15625
24.3875,124.15625
24.395834,124.15625
24.404167,124.15625
24.3375,124.16875
24.345833,124.16875
24.354166,124.16875
24.3625,124.16875
24.3875,124.16875
24.395834,124.16875
24.404167,124.16875
24.3375,124.18125
24.345833,124.18125
24.354166,124.18125
24.3625,124.18125
24.370834,124.18125
24.379166,124.18125
24.3875,124.18125
24.395834,124.18125
24.3375,124.19375
24.345833,124.19375
24.354166,124.19375
24.3625,124.19375
24.3875,124.19375
24.395834,124.19375
24.404167,124.19375
24.345833,124.20625
24.354166,124.20625
24.3625,124.20625
24.379166,124.20625
24.3875,124.20625
24.395834,124.20625
24.4125,124.20625
24.345833,124.21875
24.354166,124.21875
24.3625,124.21875
24.3875,124.21875
24.395834,124.21875
24.404167,124.21875
24.345833,124.23125
24.354166,124.23125
24.370834,124.23125
24.379166,124.23125
24.3875,124.23125
24.345833,124.24375
24.354166,124.24375
24.3625,124.24375
24.370834,124.24375
24.4125,124.24375
24.4375,124.10625
24.4375,124.11875
24.445833,124.11875
24.479166,124.11875
24.420834,124.13125
24.429167,124.13125
24.4375,124.13125
24.4625,124.13125
24.445833,124.14375
24.454166,124.14375
24.4625,124.14375
24.470833,124.14375
24.445833,124.15625
24.445833,124.16875
24.454166,124.16875
24.445833,124.18125
24.454166,124.18125
24.454166,124.19375
